reported_date_time,reported_date_time_utc,posted_date,city,state,country_code,shape,reported_duration,duration_seconds,Summary,has_images,day_part
1987-04-22T03:30:00Z,22/04/1987 03:30,23/06/1999,Hibbing,MN,US,circle,15 min.,900,we saw a strange light in the sky so we pulled over to the side of the road and watched in amazment as it moved with lighting speed,FALSE,night
1989-08-16T01:00:00Z,16/08/1989 01:00,02/09/2005,Birmingham,ENG,GB,circle,5miniutes,300,a green fizzing ball the size of the moon travelling low  and fast in the night sky ..,FALSE,night
1992-12-25T01:00:00Z,25/12/1992 01:00,07/03/1998,Cincinnati,OH,US,triangle,5 min.,300,"Our sighting was a classic triangle type U.F.O though it seemed more phoenix shaped to us,It was christmas eve we just finished ourlate",FALSE,night
1989-12-22T08:00:00Z,22/12/1989 08:00,14/02/2010,Cicero,NY,US,light,5 minutes,300,bright lite making fast moves and complex,FALSE,night
1976-09-02T00:00:00Z,02/09/1976 00:00,18/04/2012,Burlington,ON,CA,unknown,10 minutes,600,"Massive array of lights roughly 60 feet in the air pass directly overhead, at low speed, totally silent.",FALSE,civil dusk
1988-10-04T12:50:00Z,04/10/1988 12:50,21/05/2020,Goodyear,AZ,US,circle,30 seconds,30,Appeared to be rotating and circular in nature because the lights would appear and disappear.,FALSE,nautical dawn
1983-04-07T07:00:00Z,07/04/1983 07:00,12/04/2013,Fruita,CO,US,triangle,15 minutes,900,Possible drone?,FALSE,night
1994-12-18T00:30:00Z,18/12/1994 00:30,21/11/2010,Chaska,MN,US,oval,3 minutes,180,"Sphere above the horizon, ejecting smaller spheres",FALSE,night
1987-08-15T23:00:00Z,15/08/1987 23:00,11/05/2005,Bellefontaine,OH,US,rectangle,15 mins +,900,Rectangular object moving very slow,FALSE,afternoon
1987-06-30T06:30:00Z,30/06/1987 06:30,12/05/2010,Muskegon,MI,US,light,3 minutes,180,lights over the road,FALSE,night
1976-05-30T06:00:00Z,30/05/1976 06:00,19/08/2012,South Lake Tahoe,CA,US,light,6 minutes,360,Single bright light blinked out and back to different positions; Emitted powerful triangular search beam to ground.,FALSE,night
1976-07-15T10:00:00Z,15/07/1976 10:00,16/04/2005,Santa Monica,CA,US,unknown,30 to 60 seconds,60,Two UFO's sighted over Los Angeles and reported on ABC channel 7 news the nest day.,FALSE,night
1988-08-09T03:00:00Z,09/08/1988 03:00,12/08/2001,Benton,ME,US,sphere,1 to 2 minutes,120,Reflective spherical object on or above my car going with the flow and then took off with now noise and no lights.,FALSE,night
1989-07-01T20:00:00Z,01/07/1989 20:00,08/11/2003,Laramie,WY,US,other,30 seconds,30,"Small dark speck paces airliner, seen from ground.",FALSE,afternoon
1992-09-16T02:30:00Z,16/09/1992 02:30,11/05/2000,Golden Valley,MN,US,flash,2.5 hours,216000,A strobe light flashed for 2 1/2 hours over a neighbor's house.,FALSE,night
1981-07-01T02:00:00Z,01/07/1981 02:00,30/10/2012,Lebanon,MO,US,triangle,5 minutes,300,Enormous triangular object blocked stars as it moved slowly over house,FALSE,civil dusk
1989-06-01T20:00:00Z,01/06/1989 20:00,12/06/2008,Rhinebeck,NY,US,chevron,over 30 min,1800,"sighting in Rhinebeck, NY 1989 Rt. 9 - Taconic State Parkway",FALSE,afternoon
1991-08-01T18:00:00Z,01/08/1991 18:00,19/03/2009,Kissimmee,FL,US,other,30 seconds,30,"saw two squares moving together over Kissimmee, saw a red light moving incredibly fast over Orlando",FALSE,afternoon
1977-07-02T18:00:00Z,02/07/1977 18:00,16/04/2005,Glen Head,NY,US,cigar,four minutes,240,large bright cigar shaped craft with 5 smaller black crafts,FALSE,afternoon
1993-09-18T04:00:00Z,18/09/1993 04:00,18/06/2004,Red Deer,AB,CA,other,1- 2 minutes,120,"Strange shaped object, no sound, no lights, moving slowly about 20 ft off the deck.",FALSE,night
1975-10-17T23:00:00Z,17/10/1975 23:00,12/12/2009,Greenwich,CT,US,circle,10 minuts,600,i made me feel it was a living thing.  that it was alive,FALSE,astronomical dusk
1988-05-24T19:00:00Z,24/05/1988 19:00,04/07/2012,Ada,MN,US,cigar,1.5 seconds,1.5,Cigar shaped craft over farmland,FALSE,afternoon
1986-01-16T03:00:00Z,16/01/1986 03:00,17/01/2004,South Yarmouth,MA,US,circle,2+ hours,172800,"white,luminous, circular object encircled with colored lights hovering above neighbors house for over 2 hours.",FALSE,night
1981-09-29T05:00:00Z,29/09/1981 05:00,04/07/2012,Edina,MN,US,disk,1 hour,86400,I am an extraterrestrial human being. The spacecraft that I came from is referenced by numerous cultures around the earth. From the anc,FALSE,night
1979-08-16T00:15:00Z,16/08/1979 00:15,23/08/2019,Tarboro,NC,US,triangle,~10 minutes,600,Triangle craft seen in Eastern North Carolina.,FALSE,civil dusk
1990-03-16T01:00:00Z,16/03/1990 01:00,16/07/2003,Valley Mills,TX,US,oval,2-3 minutes,180,"Enormous, oval shaped object, hovering over a field-it had lights that were like no other type of lights I've seen.",FALSE,civil dusk
1994-06-30T21:00:00Z,30/06/1994 21:00,05/08/2009,Wadworth,ENG,GB,triangle,1hour +,86400,Black Triangle over Wadworth UK 1994/95,FALSE,NA
1986-05-19T05:00:00Z,19/05/1986 05:00,26/05/2016,São Paulo,Sao Paulo,BR,light,3 hours,259200,"Thirty years ago there were persecutions of UFO's by military aircrafts over São Paulo in Brazil for several hours. Now, in last sunday",FALSE,night
1975-10-15T23:30:00Z,15/10/1975 23:30,16/01/2015,Anniston,AL,US,circle,15 minutes,900,Blue and round.,FALSE,civil dusk
1993-06-30T08:30:00Z,30/06/1993 08:30,30/08/2013,Sun City,CA,US,light,10-15 seconds,15,Strange lights move over our heads while releasing bright flashes of light.,FALSE,night
1981-09-01T23:30:00Z,01/09/1981 23:30,19/05/2023,Oxon Hill,MD,US,disk,less than 1 minute,30,"UFO hovering over us, the bottom was moving in a circular motion with flashing lights. It was gone quickly with no sound",FALSE,afternoon
1991-10-28T21:10:00Z,28/10/1991 21:10,24/05/2005,Los Angeles,CA,US,circle,15 minutes,900,"It was a clear, sunny day. My friend and I went for a neighborhood walk.  It was early afternoon.  My friend first noticed 3 round whit",FALSE,afternoon
1992-07-16T06:00:00Z,16/07/1992 06:00,02/04/1999,Los Angeles,CA,US,chevron,15 sec,15,low flying 5 light chevron,FALSE,night
1982-06-01T15:00:00Z,01/06/1982 15:00,15/05/2006,Excelsior Springs,MO,US,triangle,30 minutes,1800,Two other friends and I (three of us )were in a parked vehicle conversing after dusk.  We all saw what I am about to describe-  three l,FALSE,morning
1988-06-02T03:00:00Z,02/06/1988 03:00,10/10/2011,Lackawanna,NY,US,unknown,4 min.,240,"spotlight at night, 90' away, no sound or wind.",FALSE,night
1990-11-15T00:30:00Z,15/11/1990 00:30,20/06/2005,New London,NH,US,other,10  minutes,600,formation of lights pulls manuevers then shoots off,FALSE,night
1981-07-09T00:00:00Z,09/07/1981 00:00,02/06/1998,Christiansburg,VA,US,light,5-10 min,600,"Observed light only, first slowly moving, appeared to be small private plane.Then stationary, moved in circle while changing colors ( c",FALSE,afternoon
1987-02-07T06:00:00Z,07/02/1987 06:00,20/04/2017,Norwell,MA,US,light,30 seconds,30,"My friends and I believed we were being observed or monitored by someone and ran home, then we witnessed a very bright light",FALSE,night
1985-09-15T02:00:00Z,15/09/1985 02:00,21/01/2008,Downingtown,PA,US,disk,2 minutes,120,Huge hovering ufo above home.,FALSE,night
1990-10-02T00:00:00Z,02/10/1990 00:00,11/03/2006,Pateros,WA,US,oval,05min,300,"One Gray metal oval disc, aporx. 10'x50', clear sky,  1 qaurter mile away",FALSE,afternoon
1987-07-08T04:30:00Z,08/07/1987 04:30,25/07/2004,Salina,KS,US,orb,3 minute's,180,Orb's flying threw the trailer house.,FALSE,night
1979-06-01T22:45:00Z,01/06/1979 22:45,12/12/2011,Morrice,MI,US,disk,5 minutes,300,UFO with multi-colored lights spotted out in the country in Ingham county,FALSE,afternoon
1986-09-12T02:00:00Z,12/09/1986 02:00,11/05/2005,Calypso,NC,US,sphere,1-2 minutes,120,UFO of spherical red and yellow lights hovers over family leaving them with no memory of incident,FALSE,night
1978-08-16T00:00:00Z,16/08/1978 00:00,04/06/2004,Covington,WA,US,disk,10 minutes,600,"Flying Saucer seen in Covington / Kent, Washington 1978",FALSE,afternoon
1984-11-27T04:00:00Z,27/11/1984 04:00,13/03/2012,St. Charles,IL,US,changing,45 minutes,2700,Object pulses in the red-blue-purple spectrum.,FALSE,night
1979-07-10T23:00:00Z,10/07/1979 23:00,07/03/2000,Pasadena,MD,US,formation,20 minutes,1200,July 1979. It was in the eastrern sky.  A formation of about 10 crafts. formations within formations diferent colors in each formation.,FALSE,afternoon
1992-11-25T12:30:00Z,25/11/1992 12:30,03/12/2004,Santa Cruz,CA,US,light,5 minutes,300,I was driving down the highway 17 to highway 1 south junction..  A light enveloped the car.  I pulled over and got out of the car.  I l,FALSE,NA
1980-04-11T03:50:00Z,11/04/1980 03:50,16/08/2002,Alameda,CA,US,fireball,5 min,300,"I had been moving in to our new apartment in Alameda, California. I was relaxing on the beach overlooking the San Francisco Bay south o",FALSE,astronomical dusk
1994-09-01T18:00:00Z,01/09/1994 18:00,03/07/2013,Grants Pass,OR,US,changing,12 hours,1036800,"Thought of as a Dream for 20 Years, Recent Information Convinced me that Iv been Abducted by Aliens.",FALSE,morning
1993-08-10T03:00:00Z,10/08/1993 03:00,11/01/2002,Chelmsford,MA,US,triangle,5min,300,"a friend and i were going home i noticed three lights just above the treeline of a local park, so i stopped the car in the middle of th",FALSE,night
1994-07-25T02:30:00Z,25/07/1994 02:30,15/09/2005,Cumberland,MD,US,unknown,5-10 minutes,600,I was in my front yard with some of my children and one friend of my children.  I remember seeing 2 of the brightest lights on this obj,FALSE,astronomical dusk
